INFO_ORIGE,ID,COLLECTORS,PAIS,Locality,Habitat,Abundance,Plant_Desc,Min_Elevat,Max_Elevat,Averege_Elevat,SRTM90m,Average_STRM90M_STRM30M,Datum geodesico,LATITUDE,LONGITUD,Useful_mapping,GENUS,full_scien,name_clean,Tipo,Common_Nam,Repository,IUCN_RL_CO,IUCN_RL_cr,GEPC_Natio,GEPC_Nat_1,Native,Endemic
GBIF,2603276809,Miguelo Tipan Lema,ECUADOR,yanahurco,no data,no data,no data,0,0,0,3590,3590,no data,-0.69483,-78.28334,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Holm29978,"Holm-Nielsen, Lauritz Brioder; DELETE 29978",ECUADOR,ECUADOR: Sucumbios. S. of El Playon de San Francisco on the slopes of Cerro Mirador.,no data,no data,"2 m. Label says Napo, actually Sucumbios",3600,3800,3700,3637,3635.5,WGS84,0.56666,-77.65,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"AAU, MO",LC,NA,LC,NA,Native,NA
Diaz,Holm29967,"Holm-Nielsen, Lauritz Brioder; Jaramillo, J.; Coello, F. 29967",ECUADOR,ECUADOR: Napo. S. of El Playon de San Francisco on the slopes of Cerro Mirador.,no data,no data,2 m. Infertile.,3600,3800,3700,3757,3758,WGS84,0.5891,-77.65396,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"F, QNA",LC,NA,LC,NA,Native,NA
GBIF,781064832,"Cleef, AM; Moscol-O, M",ECUADOR,Guandera Reserve,Paramo,no data,no data,4000,4000,4000,3516,3523,no data,0.59188,-77.69634,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Alva2850,"Alvarez, *; DELETE 2850",ECUADOR,ECUADOR: Carchi. San Pedro de Huaca. Huaca: Parrioquia Mariscal Sucre. Estaci?õn Biol?õgica Guandera.,Paramo,no data,Hierba terrestre de 50 cm - 3 m de altura. Hojas indumentadas. Flores amarillas con s?àpalos indumentados.,3848,3848,3848,3563,3561,WGS84,0.59694,-77.69694,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,MO,LC,NA,LC,NA,Native,NA
Diaz,Zaru2348,"Zarucchi, James Lee; DELETE 2348",ECUADOR,ECUADOR: Carchi. Paramo el Angel. El Angel and vicinity. Laguna del viaderio.,no data,no data,Arborescent composit to 3.5 m tall; flowers bright yellow. In flower.,3700,3700,3700,3724,3722,WGS84,0.67876,-77.87391,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,US,LC,NA,LC,NA,Native,NA
Diaz,Yllg8541,"Yllgaard, Benjamin; DELETE 8541",ECUADOR,"ECUADOR: Carchi. road Tulcan - Maldonado, on SW slopes of Volcan Chiles, appriox. 43 km friom Tulcan. Boggy depression in Paramo, with Espeletia, Loricaria, cushion plants, bunch grasses and mosses.",no data,no data,riosette plant with 1 m high trunk covered by old persistent and withered leaves. Flowers yellow.,3740,3740,3740,3841,3838.5,no data,0.8,-77.98333,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"AAU, MO",LC,NA,LC,NA,Native,NA
Diaz,Wigg10654,"Wiggins, I.L.;  10654",ECUADOR,ECUADOR: Carchi. . Margenes de paramo y paramo a lo cargo de la carretera entre Tulcan y El Pun .,no data,no data,2-3 m de alto  Bracteas involucrales ligeramente purpura.,3500,3800,3650,3417,3401,WGS84,0.74022,-77.68813,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,DS,LC,NA,LC,NA,Native,NA
Diaz,Webs23119,"Webster, Grady Linder",ECUADOR,ECUADOR: Carchi  Paramo 20 km NE of El Angel.,no data,no data,"Abundant schrub, flowering when 1-63 m hight; flowers yellow, with musty odor, visited by Chrysomelid beetles and flies.",3900,3900,3900,3781,3775,WGS84,0.67855,-77.88029,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"US, MO",LC,NA,LC,NA,Native,NA
Diaz,Torio5,"Torio, F.",COLOMBIA,"Narino Pasto Cgmiento de Mocondino, Paramo El Frailejonal.",no data,no data,no data,3485,3485,3485,3381,3388.5,no data,1.16963,-77.22955,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Torio20,"Torio, F.",COLOMBIA,Narino Pasto Paramo de los Frailes.,no data,no data,no data,3370,3370,3370,3409,3410,no data,1.24991,-77.21538,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Torio2,"Torio, F.",COLOMBIA,Narino Pasto Paramo El Frailejonal.,no data,no data,no data,3485,3485,3485,3411,3408,no data,1.16856,-77.22913,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Torio11,"Torio, F.",COLOMBIA,"Narino Pasto Cgmiento de Cujacal, vereda El carmelo, Paramo del Morazurco.",no data,no data,no data,3578,3578,3578,3496,3493,no data,1.26553,-77.24156,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Torio,"Torio, F.",COLOMBIA,"Narino Pasto Corregimiento de Mocondino, Paramo El Frailejonal.",no data,no data,no data,3485,3485,3485,3403,3401,no data,1.16932,-77.22903,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Thom962,"Thompson, S. A.; Rawlins, J. E. n.d.",ECUADOR,ECUADOR: Carchi. 22.7 miles SE of Maldonado on road to Tulcan.,Paramo (Espeletia dominant),no data,"riosette plant with stem 0.5-1.5 m tall; entire plant densely lanate; leaves up to 50 cm long; ray florets yellow, disc florets yellow. In flower.",3470,3470,3470,3847,3849.5,WGS84,0.8,-77.96667,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"US, F",LC,NA,LC,NA,Native,NA
Diaz,Spar14177,"Sparre, B.",ECUADOR,ECUADOR: Carchi  Laguna oriental del viador.,Shrub paramo.,no data,no data,3700,3700,3700,3763,3762.5,WGS84,0.71667,-77.88333,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,US,LC,NA,LC,NA,Native,NA
Diaz,Schu7947,"Schultes, Richard Evans; Villareal, M.",COLOMBIA,"Narino  Pasto, Volcan El Galeras.",no data,no data,About 4 ft tall. Hairs silvery white.,3200,3200,3200,3686,3687,WGS84,1.23503,-77.35248,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Rioyo4,"rioyo Gomez, J.",COLOMBIA,Narino  Vertiente septentrional.,no data,no data,no data,0,0,0,3964,3959,no data,0.84046,-77.92549,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Rioyo2,"rioyo Gomez, J.",COLOMBIA,Narino  Vertiente NE.,no data,no data,no data,0,0,0,3489,3491.5,no data,0.93687,-77.82172,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Rang4427,"Rangel Ch., J. Orlando; Luteyn, J.L.; Aguirre, J.; Fuertes; J. 4427",ECUADOR,ECUADOR: Carchi. Paramo el Angel. Lado ecuatoriano del Volcan Chiles.,no data,no data,In flower.,3950,4350,4150,4257,4254.5,WGS84,0.80504,-77.93469,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,US,LC,NA,LC,NA,Native,NA
Diaz,Piza1,"Pizarrio, V.",COLOMBIA,"Narino Pasto Vereda Santa Lucia, Paramo de Las Ovias, suroccidente de la laguna La Cocha.",no data,no data,no data,3360,3360,3360,3367,3376,WGS84,1.02806,-77.22806,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Penl897,"Penland, C.W.; Summers, R.H.; DELETE 897",ECUADOR,ECUADOR: Carchi. Nudo de Boliche: viaderio.,no data,no data,In flower.,3900,3900,3900,2891,2890.5,WGS84,0.65008,-77.76988,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,F,LC,NA,LC,NA,Native,NA
Diaz,Pane3042,"Panerio, J.L.; Clark, B. 3042",ECUADOR,ECUADOR: Carchi. 19 km W of Tufino on road to Maldonado.,"Growing in grassy paramo, only a few plants in flower. Abundant.",no data,"Cauliriosula 1-2.5 m tall, leaves silver-white lanate, coriollas yellow. In flower.",3940,3940,3940,3965,3960.5,WGS84,0.79599,-77.98205,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,US,LC,NA,LC,NA,Native,NA
Diaz,Pala3977,"Palacios, Walter A.; DELETE 3977",ECUADOR,ECUADOR: Carchi. Via Las Juntas-El Angel. Paramo el Angel. Bosque muy humedo Montano.  .,no data,no data,Arbusto 2 m de alto. Cap?åtulo verduzco. L?ågulas y flores amarillas.,3300,3400,3350,3465,3465,WGS84,0.71666,-77.83333,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,MO,LC,NA,LC,NA,Native,NA
Diaz,Pala3973,"Palacios, Walter A.; Van der werff, H. 3973",ECUADOR,ECUADOR: Carchi. Paramo el Angel. via Las Juntas-El Angel.,Bosque muy humedo Montano.,no data,arbusto 2 m de alto. cap??tulo verduzco. Ligulas y flores amarillas. In flower.,3300,3400,3350,3465,3465,WGS84,0.71667,-77.83333,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,US,LC,NA,LC,NA,Native,NA
Diaz,Pala11594,"Palacios, Walter A.; DELETE 11594",ECUADOR,ECUADOR: Carchi. Espejo. Reserva Ecol?õgica El Angel. La Libertad-Mor¬?n. Quebrada Curiquingue. Bosque muy humedo Montano. Paramo dominado por Espeletia con manchas de bosques. Suelo de origen Volcanico.,no data,no data,Planta arborescente de 2 m de altura. L?ågulas amarillas. La especie mas frecuente en el paramo.,3500,3500,3500,3861,3861.5,WGS84,0.73333,-78.01666,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"MO, QCNE",LC,NA,LC,NA,Native,NA
Diaz,Orti349,"Ortiz, A.; Loacham??n, E.; Gonzales, J., Gonzales, E. 349",ECUADOR,ECUADOR: Carchi. Paramo el Angel. Tulcan to Chical road. .,Paramo,no data,Tree to 3 m; inflorescences yellow. NCI Sample codes: 349a LF (0CJS1172); 349b LF (0CJS1173); 349c LF (0CJS1174); 349d LF (0CJS1175); 349e LF (0CJS1176). In flower.,3608,3608,3608,3387,3387.5,WGS84,0.72703,-77.83316,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,US,LC,NA,LC,NA,Native,NA
Diaz,Neil10246,"Neill, David A.; Asanza, M.; Freire, E.",ECUADOR,ECUADOR: Carchi Espejo 10 km NW of El Angel. .,Paramo dominated by Espeletia pycnophylla with patches of shrubby vegetation. Frequently burned.,no data,Giam stem-riosette plant. Stem to 3 m tall. Inflorescences axillary amid apical riosette of leaves. Flowers yellow.,3400,3400,3400,3511,3511,WGS84,0.66667,-77.83333,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"US, MO, QCNE",LC,NA,LC,NA,Native,NA
Diaz,Mora4367,"Mora O., L. E.",COLOMBIA,Narino Pasto Volcan Galeras.,no data,no data,no data,3500,3500,3500,3929,3924.5,WGS84,1.22363,-77.34741,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Mora2332,"Mora O., L. E.",COLOMBIA,Narino  Alrededores de la Laguna Cumbal.,Paramo,no data,no data,3500,3500,3500,3477,3467.5,WGS84,0.94434,-77.81593,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Mexi7507,"Mex??a, I.",ECUADOR,ECUADOR: Carchi  Hacienda la Rinconada.,no data,no data,"Up to 4 m high; rays bright yellow, disc pale yellow to black.",3400,3400,3400,3387,3382.5,WGS84,0.76271,-77.69917,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"US, F",LC,NA,LC,NA,Native,NA
Diaz,Mart7,"Mart??nez, Pa.",COLOMBIA,"Narino  San Juan de Pasto, serrania de Morasurco.",no data,no data,no data,3349,3349,3349,3441,3437,WGS84,1.16884,-77.22706,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Mart2,"Mart??nez, Pa.",COLOMBIA,"Narino  San Juan de Pasto, Paramo El Frailejonal.",no data,no data,no data,3489,3489,3489,3419,3415.5,WGS84,1.16857,-77.23067,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Mart12,"Mart??nez, Pa.",COLOMBIA,Narino Pasto Paramo de los Frailes.,no data,no data,no data,3335,3335,3335,3414,3411.5,WGS84,1.25108,-77.21485,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Mart11,"Mart??nez, Pa.",COLOMBIA,Narino Pasto Paramo de Los Frailes.,no data,no data,no data,3335,3335,3335,3368,3372.5,WGS84,1.24951,-77.21703,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Mart10,"Mart??nez, Pa.",COLOMBIA,Narino Pasto Serrania de Morazurco.,no data,no data,no data,3349,3349,3349,3432,3436,WGS84,1.26453,-77.24182,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Magu44222,"Maguire, B.; Maguire, C. K. 44222",ECUADOR,ECUADOR: Carchi. Paramo el Angel. Carretera de Tulcan a Quito.,no data,no data,"To 3 meters high, dominant plant of paramo. In flower.",3650,3650,3650,3649,3651,WGS84,0.68346,-77.86763,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,US,LC,NA,LC,NA,Native,NA
Diaz,Madi4382,"Madison, M. T.; Plowman, T. C.; Kennedy, H. A.; Besse L. 4382",ECUADOR,"ECUADOR: Carchi. WesTeran slopes of the Andes, 30 km W of Tulcan.",Elfin forest in a ravine in the Paramo.,no data,"Woody monocaul plant to 4 m tall. Ray flowers yellow, anthers briown. In flower.",3300,3300,3300,3306,3284,WGS84,0.80049,-78.00609,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"US, F",LC,NA,LC,NA,Native,NA
Diaz,Lute15011,"Luteyn, James Leonard; DELETE 15011",ECUADOR,"ECUADOR: Carchi. Tulcan-Maldonado road, 39 km W of Tulca.",no data,no data,Pachycaul shrub to 3 m tall. Ray flowers bright yellow.,3692,3692,3692,4077,4077.5,WGS84,0.81666,-77.95,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,MO,LC,NA,LC,NA,Native,NA
Diaz,Lute12881,"Luteyn, James Leonard",COLOMBIA,Narino Cumbal Volcan Cumbal. 6.5-9 km W of Cumbal;.,no data,no data,Growing in wet areas. Acaulescent to 1.5 m tall. Dominant with Juncus effusus.,3300,3300,3300,3308,3308.5,WGS84,0.91666,-77.83333,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Ljt12124,"Ljtnant, Bernt",ECUADOR,ECUADOR: Carchi  About 2 km W of Frailejon between Cruce Cordillera on the Pan American Highway and El Carmelo. Open swamp in Espeletia Paramo.,no data,no data,"riosette-tree. Trunks 0.5-2 m high, unbranched. Ray florets light yellow. Abundant.",3300,3300,3300,3355,3355,no data,0.7,-77.66666,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,AAU,LC,NA,LC,NA,Native,NA
Diaz,Lega54987,"LÊgaard, Simon",ECUADOR,"ECUADOR: Carchi. road Tulcan - Moldonado, near Volcan Chiles.",no data,no data,1 m high plant. C. 10 km E of pass. Espeletia,3600,3600,3600,4578,4579,no data,0.81666,-77.93333,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Knot3308,"Knoth, C. E.",COLOMBIA,Narino  Paramo del volcan Galeras.,no data,no data,no data,0,0,0,3738,3754.5,WGS84,1.2187,-77.34356,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,King10090,"King, Robert Merrill; Peterson, P. M.; Judziewicz, J. 10090",ECUADOR,ECUADOR: Carchi. 11.4 km NE of El Angel on road toward Tulcan. .,Calamagriostis-Festuca grassland with scattered Espeletia.,no data,"Abundant plants up to 4 m tall; most 2 meter tall, flowers yellow. Biochemical voucher. In flower.",3240,3240,3240,3236,3231.5,WGS84,0.64558,-77.92179,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,US,LC,NA,LC,NA,Native,NA
Diaz,Jara3936,"Jaramillo, J.; Coello, F. 3936",ECUADOR,"ECUADOR: Sucumbios. Playon de San Francisco, camino al Cerro El Mirador.","Bosque primario, nublado en las tardes en epoca de invierno, pajonal y chaparrio en la zona alta y cuspide, colecciones en la zona de pajonal y chaparrio, con dominancia de Espeletia.",no data,"En pajonal, de hasta 2 m, hojas suaves con pubescencia, Capitulos amarillos. In flower.",3600,3800,3700,3780,3768,WGS84,0.61048,-77.6666,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"S, AAU",LC,NA,LC,NA,Native,NA
Diaz,Jara3886,"Jaramillo, J.; Coello, F.",ECUADOR,"ECUADOR: Sucumbios  Playon de San Francisco, camino al Cerro El Mirador.","Bosque primario, nublado en las tardes en epoca de invierno, pajonal y chaparrio en la zona alta y cuspide, colecciones en la zona de pajonal y chaparrio, con dominancia de Espeletia.",no data,"Planta hasta 2 m, hojas suaves con pubescencia, Capitulos amarillos.",3600,3600,3600,3690,3690,WGS84,0.61345,-77.67242,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"S, AAU",LC,NA,LC,NA,Native,NA
Diaz,Jara10389,"Jaramillo, J.; DELETE 10389",ECUADOR,"ECUADOR: Carchi. Paramo de El Angel via Ibarra-Mira Paramo del El Angel, colecciones entre El Angel, sector San Jerionimo, vegetacion andina y Paramo, Suelo humiferio.",no data,no data,De 1.50m capitulos amarillos. In flower.,3500,3500,3500,3745,3743.5,WGS84,0.69126,-77.87955,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,MO,LC,NA,LC,NA,Native,NA
Diaz,Jame445,"Jameson, W.",COLOMBIA,Narino  Friom the andes of Pasto (Volcan Galeras).,no data,no data,no data,4000,4000,4000,3963,3954,WGS84,1.2237,-77.34803,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
Diaz,Holm23863,"Holm-Nielsen, Lauritz Brioder; Quintana, F. 23863",ECUADOR,"ECUADOR: Carchi. road Tulcan - El Carmelo, km 18. .",Boggy depression in Espeletia paramo.,no data,riosette plant to 2 m high with trunk covered with wittered leaves. In flower.,3300,3300,3300,3355,3355,WGS84,0.7,-77.66667,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,US,LC,NA,LC,NA,Native,NA
Diaz,Holm22862,"Holm-Nielsen, Lauritz Brioder; DELETE 22862",ECUADOR,"ECUADOR: Carchi. Paramo de Tufi?ío, W of Tulcan.",no data,no data,2 m.,3500,3500,3500,3539,3540,WGS84,0.78333,-77.88333,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,AAU,LC,NA,LC,NA,Native,NA
Diaz,Holm20945,"Holm-Nielsen, Lauritz Brioder; DELETE 20945",ECUADOR,ECUADOR: Carchi. Paramo el Angel. Espeletia parama S of the pass.,no data,no data,"Shrub 4-5 m Ray florest yellow, disc florest briownish. In flower.",3800,3800,3800,3566,3566.5,WGS84,0.66667,-77.86667,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,US,LC,NA,LC,NA,Native,NA
Diaz,Holm18236,"Holm-Nielsen, Lauritz Brioder; DELETE 18236",ECUADOR,ECUADOR: Carchi. Paramo el Angel. 2 km before de pass on road El Angel to Tulcan. Espeletia paramo quadrate.,no data,no data,In flower.,3600,3600,3600,3553,3553,WGS84,0.68333,-77.85,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,US,LC,NA,LC,NA,Native,NA
